pert_iname,sig_id,cell,pert_idose,pert_itime(h),Jaccard,instersection with queried up,instersection with queried down
niclosamide,REP.A008_HT29_24H:A17,HT29,0.12 um,24,0.06327372764786796,"10602,1102,133,1536,1983,2014,2180,2207,2215,2219,2357,2919,2921,301,3043,3123,330,3553,3934,4082,50486,5209,5265,5266,5552,57162,597,6279,6280,6283,6351,64092,64116,6590,694,7124,719,728,8334,85236,8942,929,9308,9595,969,9935",
esmolol,REP.A011_HT29_24H:M14,HT29,3.33 um,24,0.06284916201117319,"10161,10261,10318,10379,1043,10561,10964,1102,1230,1633,2014,2359,23657,2920,3001,301,3043,3045,3428,3434,3553,3557,3702,3934,3956,4057,4791,490,5055,5265,5272,5552,6351,6364,64116,7045,7048,7305,7453,7941,8140,8942,9308,9636,9935",
etoposide,REP.A011_HA1E_24H:P23,HA1E,0.12 um,24,0.0625,"10124,1043,10561,10964,133,1349,1545,2207,2219,241,27102,2920,2921,29909,29997,3001,3043,3045,330,3934,397,4050,4057,4318,51191,5265,5473,597,6192,6231,6280,64092,64116,6653,7128,728,7305,8519,8991,9086,9636,969,972",
diltiazem,CPC018_SKB_24H:BRD-K24023109-003-11-2:10,SKB,10 µM,24,0.06232294617563739,"10410,10477,10561,10581,10625,10659,10964,133,2180,2215,2219,27074,2919,3043,3045,3434,3437,366,4057,4318,4332,4599,4600,4938,4939,50486,51191,54205,54739,6192,6279,6280,6521,6590,6622,682,728,7791,8519,8638,8743,9188,9636,9935",
rifabutin,REP.A009_PC3_24H:G02,PC3,3.33 um,24,0.0618705035971223,"1230,2014,2015,217,2219,23136,2643,28231,2919,2920,301,302,3043,3106,3107,3557,366,4057,4318,4478,4942,50486,5265,5272,54,5464,597,6280,6281,6282,6283,6402,64116,64422,6774,728,83442,8564,8743,8991,9056,929,9935",
bazedoxifene,REP.A026_YAPC_24H:H09,YAPC,1.11 um,24,0.06142857142857143,"10410,10437,10561,10581,10875,10964,1102,1116,133,2207,2219,2357,23601,2919,2920,2921,3045,3434,3437,3557,3983,4057,4318,4332,4599,4600,51056,5196,5272,54739,6279,6280,6283,6521,6535,6622,7305,7453,8519,8991,9056,929,9636",
gabapentin,REP.A017_MCF7_24H:M22,MCF7,0.37 um,24,0.06069364161849711,"10124,10410,10561,10581,10964,1983,2752,2872,2919,2920,2921,301,330,3434,366,4318,4478,4599,4939,51056,51191,5142,5272,5734,5806,6192,6402,64116,6622,7045,7095,7127,7453,7846,8073,826,8519,8991,9086,9595,9636,9935",
enzalutamide,CPC006_DV90_6H:BRD-K56851771-001-02-7:0.25,DV90,100 nM,6,0.059743954480796585,"10365,10409,10964,1230,1326,1462,1545,2180,2353,2357,25932,2872,3043,3428,3434,3437,3560,3685,3934,4057,4600,51191,5265,5266,571,597,60489,6279,6280,6283,6286,6351,6402,64116,6590,7107,7130,728,8140,8519,8638,8875",
celecoxib,REP.A012_PC3_24H:L13,PC3,10.0 um,24,0.059506531204644414,"10410,10437,116496,1512,1545,1848,214,2634,2919,2920,2921,3115,3123,330,334,3685,3936,397,4005,4478,4599,4791,51056,51191,5142,5265,5660,60,6351,64116,64135,6653,7107,85236,8743,8773,9056,9111,929,9636,972",
ponatinib,LJP002_MCF10A_6H:BRD-K44227013-001-01-5:0.4,MCF10A,500 nM,6,0.059474412171507604,"10135,1116,1512,1604,214,2207,2215,2357,241,27074,2752,3001,3043,3557,366,3669,3934,4057,4318,4332,4599,4616,4791,5265,5272,5341,5552,6280,6286,64092,7037,7045,7130,719,728,7305,7357,7805,8837,8942,8991,9595,972",
pantoprazole,REP.A006_MCF7_24H:K14,MCF7,3.35 um,24,0.058997050147492625,"100,1027,10318,10875,25816,27074,2919,2920,2921,3002,301,3115,3123,3312,3434,3569,3620,4067,4942,5265,5552,5734,5743,64092,6590,6648,7048,7057,7128,7431,8334,8519,85236,8564,8942,8991,929,9334,9516,972",
cabozantinib,LJP007_HME1_24H:D12,HME1,0.04 um,24,0.058823529411764705,"10209,1027,10399,10410,10477,11224,1236,1604,1848,25873,2872,301,3105,3241,3702,3727,4050,4736,5204,5473,5734,6135,6137,6159,6181,6193,6202,6279,6281,6402,64116,6590,7045,7086,7295,7852,83442,8665,9045,9086,9592",
fingolimod,REP.A008_HT29_24H:N09,HT29,1.11 um,24,0.058823529411764705,"10561,10964,1102,1116,1230,1512,1536,2180,2207,301,3045,3115,3123,3434,3437,3557,366,4318,4332,4599,4600,4791,4938,4939,51056,51191,54,54739,64092,64135,6622,682,728,7305,8334,8519,85236,8743,9636,972,9935",
nepafenac,REP.A011_HA1E_24H:A22,HA1E,0.37 um,24,0.058823529411764705,"10410,10581,10964,11151,217,2219,2357,241,25816,27074,2752,3001,301,3043,3123,366,3934,3939,4050,4057,4318,4332,5265,5552,5721,5743,597,602,60489,6193,64092,64116,6653,728,7305,826,8519,8991,969,972,9935",
afatinib,LJP006_HME1_3H:G22,HME1,0.37 um,3,0.05857142857142857,"10098,101,10105,11010,116496,1848,1983,23406,241,2919,2921,3553,3569,3624,4057,4609,4860,50486,5055,5266,5328,5743,5806,597,6279,6280,6282,6283,6590,7130,7150,7295,7357,7529,8519,8870,8942,9188,9334,9592,960",
ruxolitinib,CPC014_HCC515_6H:BRD-K53972329-001-01-3:10,HCC515,10 µM,6,0.05832147937411095,"10370,10437,1230,1512,1633,2207,23406,241,2495,2920,2921,302,308,329,3557,3934,3956,4057,4332,50486,5266,5272,60,6279,6280,6286,6303,6347,64422,6590,6774,682,7045,7127,728,7305,7533,8942,9086,929,960",
trimipramine,REP.A004_PC3_24H:A21,PC3,1.11 um,24,0.05830903790087463,"100,10140,10409,10964,11224,1182,1535,1536,217,2180,241,2597,2876,3001,3398,3934,397,4057,4299,5055,5209,5552,6192,6193,6279,6280,6282,6286,6402,64422,6500,6590,6653,6772,7045,7805,8334,85236,9086,960",
albendazole,CPC004_HEPG2_6H:BRD-K79131256-001-08-8:10,HEPG2,10 µM,6,0.058265582655826556,"10048,10409,1043,10964,1116,1230,1536,1604,2123,2180,2207,2357,241,2495,3055,3159,3398,3434,3557,3569,3597,3624,366,3759,4067,4332,4973,5265,5272,6279,6280,6351,6515,7037,728,7305,7431,8519,8564,9056,929,9308,9935",
reserpine,REP.A028_YAPC_24H:L02,YAPC,3.33 um,24,0.058091286307053944,"10409,10437,10561,10581,10628,10875,10964,1512,2207,2215,2219,2357,2752,3434,3437,3557,3665,4005,4067,4332,4599,4600,4938,4939,4940,50486,51056,51191,5196,5265,54739,5660,6279,6280,65108,6622,7453,8519,8991,9056,9636,9935",
torasemide,REP.A001_HA1E_24H:O24,HA1E,0.04 um,24,0.05807365439093484,"1026,10379,10410,10561,10581,10628,10964,116496,1236,214,2353,27074,29909,3001,3107,3398,3434,3561,3956,4057,4502,4599,4938,4939,5265,5355,5359,5551,5552,5696,5880,60489,6192,6231,6347,6653,6772,6774,8519,8743,9636",
sulfasalazine,REP.A005_PC3_24H:L08,PC3,3.33 um,24,0.05763688760806916,"10135,1027,10409,10625,10875,116496,1349,1983,23657,241,25873,2597,2752,3001,301,3098,330,3312,3620,3726,3934,3956,4057,4318,4869,5209,54,54407,60,6279,6280,6351,64092,7040,8638,87,8743,8942,962,969",
mitoxantrone,LJP006_HME1_3H:C19,HME1,10.0 um,3,0.05758426966292135,"10318,10409,10577,1326,1848,1983,2014,214,23764,2919,2920,301,330,3312,3337,3459,3685,3726,3934,4057,4299,4318,4609,4790,4792,5209,5328,54,5552,6303,64116,6590,6653,678,694,7037,7128,7130,7538,8870,960",
fluconazole,REP.A011_MCF7_24H:G23,MCF7,0.12 um,24,0.05755395683453238,"10135,1027,10581,10628,1535,1536,1545,2014,2752,2919,2920,29909,3553,3569,366,3934,3956,4067,50486,5196,5266,5473,5743,5806,5880,6277,6279,6280,6282,6283,6286,6364,64116,645,6622,6774,7045,8519,8942,9188",
histamine,REP.A012_HELA_24H:H14,HELA,3.33 um,24,0.05750350631136045,"10135,10261,1116,133,1476,1512,1536,2180,2357,2752,28231,2872,2920,2921,3123,3557,366,3759,4318,4332,4791,50486,5265,5341,5734,5806,597,6193,6279,6286,64422,6513,7107,7130,7941,8564,9056,929,948,972,975",
amodiaquine,REP.A008_HT29_24H:I11,HT29,0.12 um,24,0.05747126436781609,"1043,10437,10561,11010,1230,1512,1545,214,2207,27074,3001,3002,3043,3428,3669,3685,3936,397,4005,4502,4599,51056,5265,5660,6279,6280,6286,64092,7045,7048,728,7453,7805,8140,8743,8942,9056,929,969,972",
griseofulvin,REP.A010_HELA_24H:C04,HELA,0.37 um,24,0.05706134094151213,"10161,10370,10550,10561,10875,10964,1371,1654,2634,2643,27074,2752,3434,3437,3620,3665,3702,4599,4600,4616,4938,4939,51056,5266,5272,54739,5734,57823,60489,6351,6364,64092,64116,729230,8743,8942,9056,929,9636,9935",
ketanserin,REP.A019_A375_24H:N04,A375,0.37 um,24,0.05698005698005698,"10318,10409,1536,2123,2180,241,301,302,3312,3434,3956,3983,4082,4502,4791,4938,4939,4940,4942,5266,5328,55819,5734,597,6279,6280,6281,6286,6303,64092,64135,6590,7057,719,87,928,9308,9334,948,9636",
gemfibrozil,REP.A005_HA1E_24H:M24,HA1E,0.04 um,24,0.056686046511627904,"1026,10379,10410,10561,10581,10964,1236,1545,2597,2665,3001,3002,3043,3312,3434,3437,3669,4502,4599,4939,54739,5552,5696,6192,6281,6286,6303,6364,694,7045,7107,8519,8564,8638,9086,928,960,9636,975",
nadolol,CPC017_SKB_24H:BRD-A97454584-001-02-0:10,SKB,10 µM,24,0.056338028169014086,"1027,10318,10561,10625,10964,11010,1116,1669,214,23367,23603,2495,301,3043,330,3312,3329,3434,3437,3665,4082,4599,4683,50486,5464,57162,6192,64116,64422,6500,665,7037,7045,7048,7320,8942,9086,9377,948,9636",
lapatinib,LJP006_HME1_3H:M24,HME1,0.04 um,3,0.0563165905631659,"10105,10135,23764,241,2919,2920,2921,3553,3561,3569,3624,366,4170,4318,4860,50486,5055,5266,5329,5552,5743,5806,597,602,6192,6303,6351,6364,7040,7128,7130,7805,8334,8519,85236,8870,972",
ganciclovir,REP.A006_HA1E_24H:L24,HA1E,0.04 um,24,0.056179775280898875,"10318,10410,1043,10581,10628,1535,1843,27074,2921,301,302,3043,3115,3312,3553,3669,4050,4057,4791,5142,5196,5265,5266,5272,5473,5551,5552,5660,597,60489,6192,6303,682,7048,7534,8073,8519,8638,9086,9516",
lafutidine,REP.A018_MCF7_24H:P20,MCF7,3.33 um,24,0.05614567526555387,"10318,10437,10561,10964,214,226,2353,25932,2919,2920,2921,3106,3107,3123,330,3428,3561,3624,3934,3956,4067,4318,54,5552,5696,5880,6192,6277,6364,6590,6772,7107,8519,8743,9516,9636,972",
amlodipine,REP.A004_MCF7_24H:H12,MCF7,0.04 um,24,0.05611510791366906,"100,1512,1536,1654,217,2357,241,2495,2643,308,3434,3557,3685,3983,4005,4067,4599,4600,5055,51191,5209,5341,5660,5743,597,6279,6280,6283,6364,64092,694,7086,728,7305,8140,8564,8942,9308,960",
darunavir,REP.A020_HELA_24H:D18,HELA,0.04 um,24,0.05603448275862069,"10135,10410,10477,10581,10661,11010,1116,1508,1545,1843,23657,2919,2920,2921,3045,3123,3934,3956,4057,5265,5266,5552,55819,5734,6279,6364,64116,6590,6622,669,6774,6892,7048,826,8519,8743,960,972,975",
emtricitabine,REP.A015_A375_24H:O20,A375,3.33 um,24,0.056022408963585436,"10370,10409,10550,10875,10964,1390,1669,214,2643,3001,3002,301,3043,3045,3431,3434,3620,3956,3983,4005,4318,4599,5142,5551,5696,5734,57823,597,6279,6280,6283,6286,64116,64135,7037,729230,7305,8942,9111,9636",
dutasteride,REP.A001_HA1E_24H:L01,HA1E,10.0 um,24,0.056022408963585436,"10161,10561,10581,10964,1192,1476,1512,217,2353,301,3398,3434,3557,3560,3561,4048,4502,4599,4600,4615,4616,4938,4939,5265,54739,602,60489,6282,6351,6364,64092,6653,7037,7045,8519,8564,8743,8837,8991,9636",
actarit,REP.A009_HT29_24H:M16,HT29,0.37 um,24,0.05595408895265423,"10577,10875,1116,1512,1545,1604,2123,2207,2219,2357,241,2919,2920,2921,3043,3553,3557,3569,4057,4318,50486,5055,5265,5552,597,6279,6280,6283,6351,6364,64092,7040,7045,719,728,7305,8942,929,9935",
mefloquine,REP.A008_HT29_24H:P17,HT29,0.12 um,24,0.05571847507331378,"10410,10581,10628,10964,1536,2207,2357,23657,241,3561,3685,3702,3936,3937,397,4791,51191,5265,5266,5806,60489,6192,6231,6351,64092,6590,7127,7130,7133,728,7805,8519,85236,8743,9086,929,975,9935",
carbamazepine,CPC006_OV7_6H:BRD-K71799949-001-20-8:96,OV7,100 µM,6,0.055714285714285716,"1026,10577,11010,1536,1545,1848,2219,2517,2643,2919,292,3001,3624,366,3702,4057,4616,4942,5055,5142,5272,5329,54205,5551,5734,5887,60489,6279,6283,6351,6521,6648,6892,7057,728,7941,8942,9595,9935",
estriol,REP.A002_MCF7_24H:P13,MCF7,10.0 um,24,0.05555555555555555,"10135,1026,10370,10410,10581,133,1512,1604,2014,241,2643,2920,3001,3045,3398,3557,3702,4048,4057,4354,5055,51056,51191,54,5551,55819,60489,6279,6280,6286,6303,64116,645,6535,7045,7127,728,8519,8743,929",
tolbutamide,CPC003_VCAP_24H:BRD-K85119730-001-17-2:10,VCAP,10 µM,24,0.055312954876273655,"10161,10410,10581,10625,1102,133,1462,1983,23406,23601,241,2495,3002,3045,3106,3123,3560,3927,3956,4502,5055,5209,5473,5551,5552,6279,6282,6351,64092,6513,728,7456,8140,8519,9334,9595,967,972",
pyrazinamide,REP.A001_PC3_24H:J07,PC3,10.0 um,24,0.055312954876273655,"1027,10437,10581,10875,1116,1192,1230,133,1371,2219,24138,2752,302,3043,3045,311,3115,3123,3437,3557,3934,5196,5266,54205,5473,60489,6279,6280,6303,6347,6402,645,6515,6521,8519,8991,972,9935",
nicotine,REP.A011_A375_24H:F16,A375,0.37 um,24,0.05517241379310345,"10135,10365,10561,10964,11010,1102,1326,1604,241,2495,2919,2920,2921,3312,3434,3437,3569,3665,3669,3934,4057,4599,4938,4939,4942,51056,54739,57162,597,6279,6280,6286,6364,6402,6774,694,728,8942,8991,9636",
sitagliptin,REP.A006_HA1E_24H:D06,HA1E,0.04 um,24,0.05500705218617771,"10261,116496,133,1536,1604,2207,23601,241,2495,26286,3045,3557,3759,3937,3956,4057,4973,5055,5272,5341,5473,5743,597,60489,6192,6351,6364,64092,645,6521,6535,6653,7037,728,7305,8140,9086,960,969",
diethylcarbamazine,REP.A017_HA1E_24H:C09,HA1E,1.11 um,24,0.05485232067510549,"1027,10410,10561,10581,10628,10964,1535,1983,2180,2207,226,3428,3434,3665,3939,4599,4600,4938,4940,4942,50486,51056,51191,5359,54739,6282,6286,6303,64422,6772,7305,7357,8140,8519,8564,8763,9056,9636,972",
vemurafenib,CPC006_HA1E_6H:BRD-K56343971-001-02-3:10,HA1E,10 µM,6,0.054628224582701064,"100,10098,10105,10409,10437,11010,1116,1545,2014,2919,3312,3337,3557,3638,3685,3934,4000,4792,4860,5266,5328,5329,5473,597,6279,6280,6281,6347,6590,6611,7037,7045,7128,8655,8870,9308",
lenvatinib,REP.A013_YAPC_24H:G04,YAPC,0.37 um,24,0.054628224582701064,"10437,11010,1462,1536,1633,217,2219,23603,27074,301,330,3685,3934,4048,4067,4332,4791,4973,50486,51582,5272,5329,54,5473,6279,6283,6364,6402,6648,7127,7128,7130,728,8519,8682,9056",
tiagabine,REP.A015_MCF7_24H:N17,MCF7,0.12 um,24,0.054380664652567974,"10410,10561,10581,10964,1102,1499,1536,2207,23406,2634,301,3241,3434,3437,3665,4050,4599,4600,4938,4939,4940,51056,51191,5743,65108,6772,7045,729230,7295,7453,826,8519,8638,9056,9636,972",
deferasirox,REP.A028_A375_24H:M22,A375,0.37 um,24,0.054285714285714284,"10581,1116,133,1462,1535,1633,2180,2219,2919,2920,2921,3045,3434,366,3702,3927,3934,4057,4082,4354,4599,50486,51056,5265,53827,5499,6280,6283,64167,645,6590,6653,7127,7357,8073,8519,929,9935",
varenicline,REP.A020_HELA_24H:I07,HELA,10.0 um,24,0.054252199413489736,"10409,10437,1230,1512,2180,23478,241,2919,2923,3115,3123,3312,3553,3569,3936,3937,4082,4354,50486,5055,5341,5660,597,6192,6351,64092,7045,7128,7133,728,7305,7462,7805,929,9308,948,9935",
flutamide,REP.A009_A375_24H:A22,A375,0.37 um,24,0.054242002781641166,"10964,1102,1116,1230,133,1512,2215,23764,241,2919,2920,2921,3043,308,330,3665,3956,3983,50486,5142,5265,5272,5341,55819,597,6351,64092,6513,6535,6622,7086,7095,728,7805,8334,8743,9056,929,9308",
aclidinium,REP.A022_HA1E_24H:A09,HA1E,1.11 um,24,0.05420827389443652,"100,10161,1043,10477,10581,10602,11010,1102,1116,116496,1349,1462,1545,2123,2876,2920,2921,330,3428,4938,4939,51191,5265,5806,597,60489,6286,6351,6364,6402,64092,6535,6590,7057,8334,8519,9056,9978",
tripelennamine,CPC015_A549_6H:BRD-K57033106-048-03-6:10,A549,10 µM,6,0.05420827389443652,"100,10370,1536,1604,1654,1669,2207,2219,23569,23601,241,2495,3045,3106,3428,3620,3669,4057,4317,4318,5055,5142,5806,597,6279,6280,6283,6347,6364,64092,6648,728,8564,8991,928,929,9595,972",
dabrafenib,REP.A005_HA1E_24H:I19,HA1E,10.0 um,24,0.05416666666666667,"10437,10561,10964,1236,1604,1647,1848,29909,3001,3002,302,3434,3620,3624,3665,3685,4599,4939,4940,5355,54,54739,5660,6275,6277,6282,6347,6772,7040,7045,826,83442,8519,87,8743,928,9592,960,9636",
bosutinib,LJP007_MCF7_24H:D22,MCF7,0.37 um,24,0.05397727272727273,"10409,1043,10561,10964,11010,2014,217,2207,2219,23136,241,2643,3557,3665,3936,3956,4332,4860,50486,5209,5265,5329,5341,5473,5734,6279,6280,6282,7127,7130,7305,7529,8334,8519,8564,8942,929,9935",
enalapril,REP.A015_HT29_24H:H03,HT29,1.11 um,24,0.053824362606232294,"101,1043,10437,10602,1116,116496,1462,1604,2920,2921,3043,3045,3123,3557,366,4318,4600,50486,5055,5272,54,5473,5552,597,60489,6280,6283,6364,6402,64422,728,7431,8519,8564,8942,9111,9595,972",
amfepramone,REP.A007_HT29_24H:F02,HT29,3.33 um,24,0.05377906976744186,"100,10140,1043,10628,1116,2123,23657,2495,2634,27430,2920,2921,301,3043,3045,3312,3620,3934,4067,4332,5272,54407,5473,57823,6279,6280,6303,64116,64422,6774,694,7048,8334,8942,9595,962,969",
acarbose,REP.A012_PC3_24H:H03,PC3,1.11 um,24,0.05364511691884457,"10161,10477,11010,1536,23601,241,2919,2920,301,302,3115,3123,3312,3428,3624,366,3934,4057,4318,4332,4599,5055,5552,5734,5806,597,6279,6280,6281,6283,6364,64092,64422,6535,728,8564,948,9636,972",
cevimeline,REP.A008_HT29_24H:L18,HT29,0.04 um,24,0.0536231884057971,"10161,10410,10577,10581,10964,1536,2014,2207,2357,2876,3115,3123,3428,3553,3557,4005,4057,4791,5329,5806,6280,6286,6351,6364,6590,7040,7124,7127,7130,7305,8519,8564,8743,8942,929,972,9935",
famotidine,REP.A012_PC3_24H:D23,PC3,0.12 um,24,0.05352112676056338,"10161,10437,1116,1182,1535,1536,2215,2219,23406,2357,23601,241,2597,2752,2790,3055,4057,4318,4332,4600,5265,5329,5473,54739,5552,597,602,6279,6280,6283,6286,64092,6590,7086,7295,7305,7805,929",
aprepitant,REP.A018_HT29_24H:K06,HT29,0.04 um,24,0.05352112676056338,"1043,10628,10933,1116,1508,2123,2752,2919,3001,301,3043,3553,3557,3620,3934,397,4057,50486,5329,5552,5880,597,6192,6279,6280,6303,6351,6364,64116,6590,7048,7128,7357,7453,7805,8682,948,9935",
tranilast,CPC018_PHH_24H:BRD-K19533706-001-01-9:10,PHH,10 µM,24,0.053445850914205346,"10161,1043,10437,10875,1536,1983,2123,2219,241,308,330,3320,3459,3665,3685,3934,4082,4318,4332,4599,490,5660,57162,6192,6280,6303,64092,6648,7045,7086,7305,87,9056,928,929,9595,9636,9935",
candesartan,REP.A021_HA1E_24H:I22,HA1E,0.37 um,24,0.053445850914205346,"1027,10365,10561,10964,1462,1545,1983,2219,2876,3043,3045,3428,3434,3557,3569,366,4057,4354,4599,4600,4938,4939,4940,5055,5359,5806,597,6192,6279,6280,64135,6622,678,7127,7764,8743,9111,9636",
erythromycin,REP.A016_HT29_24H:C07,HT29,10.0 um,24,0.05327868852459016,"10161,10370,1043,10561,10964,1102,116496,1536,1669,1848,241,25873,27074,2752,2919,2920,301,3115,3123,3428,3620,3934,4050,4057,4318,4599,6192,6279,6280,6364,6535,6622,682,694,7295,7305,7389,8564,972",
levosimendan,REP.A012_HA1E_24H:N14,HA1E,3.33 um,24,0.053237410071942444,"10477,10561,10577,10964,1192,1371,217,2495,2876,2923,301,3434,3553,3557,366,4048,4057,4332,4502,4599,4938,51170,5266,5329,53827,5887,6192,6351,6521,669,728,7295,85236,8743,928,9636,9935",
primaquine,REP.A015_HA1E_24H:A22,HA1E,0.37 um,24,0.05300859598853868,"10261,10577,1230,1476,1508,1536,214,23657,2876,2919,2920,2921,3115,3123,3759,4067,4791,4942,51191,5142,5341,54,597,6286,6303,6351,64116,64422,6500,7130,7305,7805,8140,8519,8743,929,972",
mepivacaine,REP.A012_HA1E_24H:P05,HA1E,0.12 um,24,0.05293276108726753,"10124,1026,10379,10410,10437,10561,10581,10964,1843,214,217,2219,2787,2872,2919,2920,308,3115,3123,3312,3434,3669,3956,3983,4502,4599,4791,4938,4940,5265,6282,6772,8519,8837,948,9636,972",
everolimus,REP.A010_MCF7_24H:H06,MCF7,0.04 um,24,0.05293276108726753,"10135,1604,1983,2022,23601,23657,2495,2643,28231,2920,2921,3043,3312,3624,3638,4057,50486,5055,5265,5329,5341,5473,5552,5743,6279,6280,6364,64092,7037,7130,728,7324,8140,8870,8942,9218,9595",
clozapine,REP.A013_MCF7_24H:A12,MCF7,0.04 um,24,0.05286343612334802,"10410,11224,116496,1349,1633,1938,25873,2920,3105,3106,3107,3151,3312,3934,3956,4869,4973,5204,5250,5464,60,6136,6137,6138,6230,6231,6281,6282,6303,6590,6653,689,7057,8519,8942,9446",
cefdinir,REP.A002_HELA_24H:B18,HELA,0.04 um,24,0.05285118219749652,"1026,1043,10437,10477,10577,1536,1633,1983,2014,2123,2219,2517,308,3428,3557,3669,3956,4050,4502,4814,50486,51056,5473,5552,5806,6279,6280,6283,6286,6347,64422,65108,694,7045,7057,7453,8875,9935",
cilastatin,CPC001_HA1E_24H:BRD-A90311807-236-01-4:10,HA1E,10 µM,24,0.05285118219749652,"10105,10140,10370,10410,10561,10581,10964,1116,1512,1844,214,2180,23657,2919,2920,3043,3312,3437,4299,4332,4973,5328,5464,5806,6275,6282,64116,64422,6590,6653,7037,7048,7127,7357,8519,8743,928,9516",
urea,REP.A008_HT29_24H:M18,HT29,0.04 um,24,0.05278592375366569,"10161,10409,10602,10875,10964,11010,1102,1230,1536,1669,23657,2919,3001,301,3045,3123,3553,3624,3934,4050,5055,6279,6280,6283,6364,6622,6653,7057,719,729230,7941,8564,8942,928,972,9935",
cefepime,REP.A010_HT29_24H:A16,HT29,0.37 um,24,0.052781740370898715,"10140,1654,1844,217,23406,2353,27074,3002,3115,330,3312,3702,3726,3936,4005,4599,4940,51056,51170,5272,53827,5887,6231,6402,64422,65108,6513,7037,8073,8334,8519,85236,929,9308,9592,9636,975",
palonosetron,REP.A005_MCF7_24H:E17,MCF7,0.12 um,24,0.052781740370898715,"10161,10410,10581,10964,1102,1512,1535,2123,2207,2219,2357,2495,2876,3934,3956,4057,4599,5055,5265,5329,53827,55819,60489,6192,6282,6351,6364,64092,6892,7040,7045,7107,728,729230,9086,928,929",
